pageid,name,revision_id
43733197,Juan Pablo Schiavi,1195011460
34238187,Julián de Leyva,1234698824
17671927,Khachatur Malumian,1210493386
63411508,Lucio Victorio Mansilla,1210433646
60735110,Marcelo Muniagurria,1242262794
2646684,Mariano Moreno,1248788227
75510988,Martín Menem,1247590161
32035804,Martín Sabbatella,1166890663
64796030,Miguel Ángel Pesce,1211044406
76521170,Mikayel Kotanyan,1226313476
33618474,Mónica López (politician),797826672
67425992,Nicolás Massot,1222899462
34227726,Norberto La Porta,1225799869
39480125,Parunak Ferukhan,1214660598
59157871,Ricardo Kennedy,1240898573
76520554,Ruben Miroyan,1228290809
52825646,Ruben Mirzakhanyan,1214661775
30408343,Rómulo Sebastián Naón,1193099129
68384265,Santiago G. O'Farrell,1228141029
49890680,Tigran Karapetyan,1231946069
19327926,Tigran Khzmalyan,1237979345
76744874,Vahagn Hovakimyan,1224369324
37676127,Vahan Minakhoryan,1214661649
68921820,Vigen Chitechyan,1124301399
67603883,Alfons Adam,1244617588
6149096,Andreas Hörtnagl,1215046038
32850726,Anton Hofer,1215044432
69622019,Badal Muradyan,1214662146
37015016,Citizens' Ministry,1200893975
19949832,Count Václav Antonín Chotek of Chotkov and Vojnín,1214682376
2732436,Eduard Hedvicek,1215043825
76374912,Eduard von Grebmer zu Wolfsthurn,1216075327
63115789,Ernst Hampel (politician),1232067132
77411982,Franz Dinghofer,1251039794
20006161,Franz Jetzinger,1214236945
38346616,Friedhelm Frischenschlager,1223497595
7719777,Friedrich Wilhelm von Haugwitz,1215043658
33570439,Gabriel Noradoungian,1240224564
50404059,Garo Paylan,1249622641
34177704,Genrikh Poghosyan,1214662694
31313608,George Abraham von Dyhrn,1231555745
4197699,Hans Ferlitsch,1240489075
36079970,Hans Peter Haselsteiner,1226351964
48931564,Heinrich Alfred Barb,1214670404
70735542,Hermann Stern,1215044008
63774722,Hrayr Tovmasyan,1243511026
4256918,Hugo Jury,1225140706
4252669,Ingo Appelt,1244447844
67643004,Ishkhan Saghatelyan,1243510830
5313724,Israel Ori,1214986895
4825936,Joseph Buttinger,1214670744
32207173,Joseph Kenner,1169137921
39588754,Jürgen Himmelbauer,1215045853
74152574,Karen Sargsyan (sociologist),1217803359
40573188,Kegham Vanigian,1214670011
901939,Konstantin Jireček,1242771327
862679,Leopold Berchtold,1228353209
42075810,Martiros Sarukhanyan,1214669503
26429545,"Maximilian Anton Karl, Count Baillet de Latour",1226152632
60026170,Michael Killisch-Horn,1106829544
76744761,Narine Tukhikyan,1233470777
41520046,Ohannes Tchekidjian,1215201883
38740149,Paul Paul,1215924661
3946756,Prince Carl of Solms-Braunfels,1237091760
42869603,Richard von Coudenhove-Kalergi,1243336388
54156092,Serop Zakaryan,1222543352
77186516,Sophia Kircher,1242552103
8048537,Suren Shadunts,1242146414
39619941,Theodor Kery,1215046740
46179557,Ulrich Habsburg-Lothringen,1216088776
66901795,Usub Bek Temuryan,1243494457
19929382,Vartkes Serengülian,1214669611
25145889,Walter Guggenberger,1154443829
7919394,Alexander Zach,1215187552
75545138,Aliabbas Salahzade,1211047878
749702,Anton von Winzor,1231556425
65342249,Brigitta Pallauf,1215184008
12993060,Christoph Matznetter,1250934182
19358024,Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1243965585
10253465,Dilara Aliyeva,1236388140
29360859,Elchin Afandiyev,1243626881
8702718,Elmar Lichtenegger,1215483185
5612787,Emil Sax,1215185845
52593010,Enver Alikhanov,1161577254
64212742,Fazail Agamali,1250642641
2503707,Ferdinand Mannlicher,1250188481
42225075,Franz Leitner (politician),1215054152
60176601,Franz Moroder,1228417930
42418604,"Georg Adam, Prince of Starhemberg",1215186237
4429902,Gerhard Pfanzelter,1238011369
68435651,Gisela Wurm,1215187415
65497736,Gottfried von Kühnelt-Leddihn,1235730032
74627821,Gregor Razumovsky (activist),1236098636
49426725,Gundaker Thomas Starhemberg,1246777408
76191109,Heidemaria Onodi,1246630894
23445933,Heinz Nittel,1226214871
27135394,Horst Rosenkranz,1215185628
4231920,Hubert Klausner,1242810704
38482652,Johann Anton von Pergen,1248404055
30639133,Johann Gregor Memhardt,1226209962
41832717,Josef Staribacher,1215186443
5529040,Julius Lippert (historian),1248432097
16195728,Julius Tandler,1153989705
25798636,Józef Kożdoń,1215053905
13125870,Jürgen Mandl,1215054486
4999454,Karl Freiherr von Vogelsang,1231556362
44960359,Karl Lütgendorf,1231556108
50536736,Karl Schmitzer,1215186109
28341664,Karl von Zinzendorf,1240906258
14600677,"Leopold, Count von Thun und Hohenstein",1215186791
187247,Leopold Poetsch,1251056800
66505277,Leyla Abdullayeva,1230366514
68477408,Martin Kocher,1241392879
71057696,Muzamil Abdullayev,1223484511
76198558,Peter Schieder,1239601735
76188791,Peter Strasser (politician),1240951343
77154880,Reinhold Lopatka,1250933660
69330409,Renate Mann,1099978355
77177053,Sonja Zwazl,1235856770
66499801,Tarlan Aliyarbayov,1240965677
28636801,Thomas Prinzhorn,1215185462
24165403,Walter Pfrimer,1249288737
19746969,Wladimir von Pawlowski,1242446030
9465756,Abdurrahman Fatalibeyli,1241052691
73701173,Afshan Gadimbeyova,1243747432
57656422,Ahmad Kordary,1187254621
52050192,Ajdar Ismailov,1157124148
38404400,Akram Aylisli,1247420701
62074177,Ali Asadov,1237483914
63443500,Ali Huseynli,1245270394
52606271,Ali Ibrahimov,1244157806
29805797,Ali M. Hasanov,1245282668
44931890,Alisahib Huseynov,1246588423
33052057,Alovsat Bakhshiyev,1207738330
64997636,Anar Karimov,1245270299
73414366,Arastun Javadov,1147579900
71947937,Araz Alizadeh,1246060446
50559566,Asaf Hajiyev,1235219197
76189327,Ashraf Bey Taghiyev,1213943020
76441463,Bakhish bey Rustambeyov,1246060690
20488566,Boris Kevorkov,1217681945
75660406,Chimnaz Aslanova,1245503366
66711673,Farhad Hajiyev,1246286594
71089676,Fazail Ibrahimli,1243509483
76441761,Garib Karimoğlu,1246060699
76013404,Gudrat Gasanguliev,1234004989
65640632,Gurban Khalilov,1243520102
76325547,Haji Molla Ahmad Nuruzade,1239189558
72909644,Hasan Hasanli,1244589428
75801198,Hasan Majidov,1236490430
29447701,Huseyngulu Baghirov,1199215674
45628825,Ilham Madatov,1011331249
76890519,Irshad Aliyev,1225308278
33064998,Jamil Hasanli,1248447237
77024072,Jeyhun Jalilov,1228687346
75784519,Lutfali bey Behbudov,1226230854
73560444,Majnun Mammadov,1248225337
76496477,Makhmud Mamed-Guliev,1243510539
52592974,Mamed Iskenderov,1244201378
66066441,Mammad Gurbanov,1237445893
75670592,Mirgasim Cheshmazer,1226415908
75864792,Musa Hacigasimov,1236490449
70572331,Musa Mammadov,1243510550
66923230,Ramin Mammadov,1248662299
3197492,Rovshan Javadov,1250266366
68359822,Saftar Jafarov,1222623261
63784079,Sahil Babayev,1207600921
13188885,Solomon Grobshtein,1067081975
52592892,Teymur Guliyev,1232296078
36758770,Vidadi Isgandarov,1249203876
65319366,Vilayat Eyvazov,1208072134
40963939,Zakir Hasanov,1224596001
74066377,Abdulla Adel Fakhro,1223700072
67065341,Abdullah bin Isa Al Khalifa,1182830303
29387873,Abid Sharifov,1243510547
65632666,Ahmed Behzad (Bahrain),1063482737
65751314,Ammar Al Bannai,1231654401
63913368,Aymen Tawfeeq Almoayed,1227286508
4750890,Bakhtiyar Vahabzadeh,1249675761
74118304,Charles Carter (Bahamian journalist),1162793449
30612315,Eldar Namazov,1206211739
63969137,Elshad Mirbashir oghlu,1194162044
74677674,Eugene Dupuch,1181612386
31017866,Faisal al-Hamar,1218302538
66166950,Fuad Naghiyev,1248662296
64192552,Harold Christie,1142294843
52606355,Hasan Seyidov,1148385245
73749273,Hasan Seyidov (scientist),1198202282
52592854,Huseyn Rahmanov,1106104383
72266644,Ikhtiyar Shirinov,1243510572
46951527,Isa bin Abdulrahman Al Hammadi,1098344827
67069030,Isa bin Ibrahim Al Khalifa,1146485875
31017985,Jameel Humadan,1148959062
63507428,James Carmichael Smith (postmaster),1248344476
65056343,Jawad Fairooz,1177286981
40897600,Joseph Robert Love,1177467150
31018024,Kamal Ahmed (politician),1215486840
77294368,Keith Bell (Bahamian politician),1243023554
65664158,Khalid Almoayed,1215466172
65766828,Mahmood Al Bahrani,1161492589
19551770,Mammad agha Shahtakhtinski,1185599926
77294590,McKell Bonaby,1238577650
50373647,Mohamed Ali Hasan Ali,1006173162
66258739,Mohammed Isa Al Abbasi,1171757402
75252047,Movsum Samadov,1241255046
13522472,Nabeel bin Yaqub Al-Hamar,1159628135
72787223,Namig Nasrullayev,1158375491
15959186,Nazar Al Baharna,1241906132
50497831,Nurali Yusifbayli,1243510541
76585996,Pakesia Parker-Edgecombe,1226025677
61498150,Parviz Shahbazov,1213858589
65763676,Qasim Fakhro,1099067663
75573577,Rovshen Rzayev,1208078338
52592948,Sadig Rahimov,1245157534
72968230,Shirali Akhundov,1213002608
59571031,Siyavush Novruzov,1243520070
59439237,Suleyman Rahimov,1193027962
75539115,Tahir Mirkishili,1210593900
38803441,Timothy Donaldson,1245586658
75356945,Vugar Mustafayev (minister),1208077047
73087745,Yusif Ziya Talibzadeh,1243510546
73057190,Zahid Oruj,1213965350
54988209,AKM Fazlul Kabir Chowdhury,1245380545
70349044,AKM Hafizuddin,1246694478
75746104,Abdul Motaleb,1245374567
31018072,Abdulhussain bin Ali Mirza,1195787872
72632280,Abdulla Hassan Saif,1219928150
20277831,Abdullah bin Hamad bin Isa Al Khalifa,1241499929
39724369,Abdullatif Al-Mahmood,1227285970
32982779,Abdulrahman al-Nuaimi,1235804624
75745902,Abdus Salam (Chattogram politician),1245374007
7984185,Abul Hashim,1232200030
65628587,Ahmed Al-Salloum,1244755894
76688155,Ahmed bin Mohamed Al Khalifa,1221144846
76752579,Ali bin Khalifa Al Khalifa,1250923005
71949502,Ali bin Saleh Al Saleh,1239617504
14103209,Aminul Islam Chowdhury,1175807916
76799065,Aminul Islam Rabel,1245379837
65763331,Ammar Qambar,1140605737
1727235,Anwarul Karim Chowdhury,1245395466
49315431,Ashab Uddin Ahmad,1245380479
72583761,Birendra Kishore Roaza,1246126702
55983169,Bishnu Chattopadhyay,1242147738
77128068,Chowdhury Shamsuddin Ahmed,1237261756
45150982,Essam Khalaf,1006167519
31017934,Fahmi al-Jowder,1172576081
62016793,Farid Ahmed,1245375794
76551524,Hala bint Mohammed Al Khalifa,1232948277
65663966,Hamad Al Kooheji,1233118749
31017893,Ibrahim ibn Khalifa Al Khalifa,1156409493
32612135,Isa Qassim,1249444464
65664273,Khalid Al Maskati,1209519423
10968822,M Hossain Ali,1242815841
55813166,Mai bint Mohammed Al Khalifa,1217876419
72655646,Mohammad A. Arafat,1250896485
63544563,Mohammad Manjur Alam,1245377984
66292306,Mohammed Al-Buainain,1063213013
56407254,Mohammed bin Khalifa bin Ahmed,1244455253
67069416,Mohammed bin Khalifa bin Ali Al Khalifa,1202322111
39075477,Moinuddin Ahmed Chowdhury,1166369458
61608207,Muzaffar Ahmed (NAP politician),1245380189
10895023,Nurul Huq Bhuiyan,1236303322
9165486,Oli Ahad,1247061966
76687927,Rasheed Mohammed Al Maraj,1247375502
1623346,Salman bin Hamad Al Khalifa,1250494329
76688320,Salman bin Khalifa Al Khalifa,1247375519
62016707,Sarwar Jan Chowdhury,1245377291
65664370,Saud Kanoo,1098699647
55685860,Selina Banu,1183475136
75745186,Shafiqur Rahman Badsha,1245374148
61598366,Shahinur Pasha Chowdhury,1245379554
17194591,Yusuf Ali Chowdhury,1228415190
64433698,AKM Fazlul Haque (Jatiya Party politician),1245402550
52225799,Abdul Halim Ghaznavi,1237265302
43747918,Abdur Rahim (scholar),1250599443
7984134,Abul Kalam Shamsuddin,1246347372
9205342,Abul Kashem,1232782976
18165642,Abul Kashem Khan,1245380771
56843746,Asheq Ullah Rafiq,1245374666
24745923,Badruddin Umar,1220769997
61593204,Badruddoza Ahmed Shuja,1245376617
62916365,Debendra Nath Ghosh,1240939624
20289099,Devasish Roy,1247376048
33657039,Elliott Belgrave,1242611945
66084527,Fazlul Haque Montu,1243563371
53155789,Ferdous Ahmed Qureshi,1250961688
47295655,Golam Maula Rony,1250725167
59404730,Habibar Rahman,1245395381
28833112,Haji Mohammad Danesh,1230176939
53059358,Hatem Ali Khan,1237261567
75750803,Husam Uddin Chowdhury Fultali,1247693188
63895051,James Leo Ferguson,1212687396
17924011,Jyotirindra Bodhipriya Larma,1247242676
76091522,Kazi Abdus Shahid Lal,1237261507
35859918,M. Anwar Hossain,1226325755
